Concepto,Fecha,Valor
Aragón. General. Variación anual. ,1711922400000,9.9
Aragón. General. Variación anual. ,1704063600000,7.0
Aragón. General. Variación anual. ,1696111200000,4.3
Aragón. General. Variación anual. ,1688162400000,4.7
Aragón. General. Variación anual. ,1680300000000,3.4
Aragón. General. Variación anual. ,1672527600000,3.2
Aragón. General. Variación en lo que va de año. ,1759269600000,14.4
Aragón. General. Variación en lo que va de año. ,1751320800000,12.8
Aragón. General. Variación en lo que va de año. ,1743458400000,8.9
Aragón. General. Variación en lo que va de año. ,1735686000000,4.0
Aragón. General. Variación en lo que va de año. ,1727733600000,13.3
Aragón. General. Variación en lo que va de año. ,1719784800000,11.6
Aragón. General. Variación en lo que va de año. ,1711922400000,8.6
Aragón. General. Variación en lo que va de año. ,1704063600000,4.1
Aragón. General. Variación en lo que va de año. ,1696111200000,4.3
Aragón. General. Variación en lo que va de año. ,1688162400000,5.5
Aragón. General. Variación en lo que va de año. ,1680300000000,3.1
Aragón. General. Variación en lo que va de año. ,1672527600000,1.4
Aragón. Vivienda nueva. Índice. ,1759269600000,187.936
Aragón. Vivienda nueva. Índice. ,1751320800000,188.999
Aragón. Vivienda nueva. Índice. ,1743458400000,183.466
Aragón. Vivienda nueva. Índice. ,1735686000000,179.226
Aragón. Vivienda nueva. Índice. ,1727733600000,170.95
Aragón. Vivienda nueva. Índice. ,1719784800000,171.532
Aragón. Vivienda nueva. Índice. ,1711922400000,167.734
Aragón. Vivienda nueva. Índice. ,1704063600000,163.112
Aragón. Vivienda nueva. Índice. ,1696111200000,149.775
Aragón. Vivienda nueva. Índice. ,1688162400000,154.393
Aragón. Vivienda nueva. Índice. ,1680300000000,147.908
Aragón. Vivienda nueva. Índice. ,1672527600000,145.894
Aragón. Vivienda nueva. Variación trimestral. ,1759269600000,-0.6
Aragón. Vivienda nueva. Variación trimestral. ,1751320800000,3.0
Aragón. Vivienda nueva. Variación trimestral. ,1743458400000,2.4
Aragón. Vivienda nueva. Variación trimestral. ,1735686000000,4.8
Aragón. Vivienda nueva. Variación trimestral. ,1727733600000,-0.3
Aragón. Vivienda nueva. Variación trimestral. ,1719784800000,2.3
Aragón. Vivienda nueva. Variación trimestral. ,1711922400000,2.8
Aragón. Vivienda nueva. Variación trimestral. ,1704063600000,8.9
Aragón. Vivienda nueva. Variación trimestral. ,1696111200000,-3.0
Aragón. Vivienda nueva. Variación trimestral. ,1688162400000,4.4
Aragón. Vivienda nueva. Variación trimestral. ,1680300000000,1.4
Aragón. Vivienda nueva. Variación trimestral. ,1672527600000,5.5
Aragón. Vivienda nueva. Variación anual. ,1759269600000,9.9
Aragón. Vivienda nueva. Variación anual. ,1751320800000,10.2
Aragón. Vivienda nueva. Variación anual. ,1743458400000,9.4
Aragón. Vivienda nueva. Variación anual. ,1735686000000,9.9
Aragón. Vivienda nueva. Variación anual. ,1727733600000,14.1
Aragón. Vivienda nueva. Variación anual. ,1719784800000,11.1
Aragón. Vivienda nueva. Variación anual. ,1711922400000,13.4
Aragón. Vivienda nueva. Variación anual. ,1704063600000,11.8
Aragón. Vivienda nueva. Variación anual. ,1696111200000,8.3
Aragón. Vivienda nueva. Variación anual. ,1688162400000,12.4
Aragón. Vivienda nueva. Variación anual. ,1680300000000,10.0
Aragón. Vivienda nueva. Variación anual. ,1672527600000,7.5
Aragón. Vivienda nueva. Variación en lo que va de año. ,1759269600000,9.9
Aragón. Vivienda nueva. Variación en lo que va de año. ,1751320800000,10.6
Aragón. Vivienda nueva. Variación en lo que va de año. ,1743458400000,7.3
Aragón. Vivienda nueva. Variación en lo que va de año. ,1735686000000,4.8
Aragón. Vivienda nueva. Variación en lo que va de año. ,1727733600000,14.1
Aragón. Vivienda nueva. Variación en lo que va de año. ,1719784800000,14.5
Aragón. Vivienda nueva. Variación en lo que va de año. ,1711922400000,12.0
Aragón. Vivienda nueva. Variación en lo que va de año. ,1704063600000,8.9
Aragón. Vivienda nueva. Variación en lo que va de año. ,1696111200000,8.3
Aragón. Vivienda nueva. Variación en lo que va de año. ,1688162400000,11.6
Aragón. Vivienda nueva. Variación en lo que va de año. ,1680300000000,7.0
Aragón. Vivienda nueva. Variación en lo que va de año. ,1672527600000,5.5
Aragón. Vivienda segunda mano. Índice. ,1759269600000,176.142
Aragón. Vivienda segunda mano. Índice. ,1751320800000,173.041
Aragón. Vivienda segunda mano. Índice. ,1743458400000,166.844
Aragón. Vivienda segunda mano. Índice. ,1735686000000,158.524
Aragón. Vivienda segunda mano. Índice. ,1727733600000,152.748
Aragón. Vivienda segunda mano. Índice. ,1719784800000,149.665
Aragón. Vivienda segunda mano. Índice. ,1711922400000,145.385
Aragón. Vivienda segunda mano. Índice. ,1704063600000,138.811
Aragón. Vivienda segunda mano. Índice. ,1696111200000,135.001
Aragón. Vivienda segunda mano. Índice. ,1688162400000,135.909
Aragón. Vivienda segunda mano. Índice. ,1680300000000,133.444
Aragón. Vivienda segunda mano. Índice. ,1672527600000,131.202
Aragón. Vivienda segunda mano. Variación trimestral. ,1759269600000,1.8
Aragón. Vivienda segunda mano. Variación trimestral. ,1751320800000,3.7
Aragón. Vivienda segunda mano. Variación trimestral. ,1743458400000,5.2
Aragón. Vivienda segunda mano. Variación trimestral. ,1735686000000,3.8
Aragón. Vivienda segunda mano. Variación trimestral. ,1727733600000,2.1
Aragón. Vivienda segunda mano. Variación trimestral. ,1719784800000,2.9
Aragón. Vivienda segunda mano. Variación trimestral. ,1711922400000,4.7
Aragón. Vivienda segunda mano. Variación trimestral. ,1704063600000,2.8
Aragón. Vivienda segunda mano. Variación trimestral. ,1696111200000,-0.7
Aragón. Vivienda segunda mano. Variación trimestral. ,1688162400000,1.8
Aragón. Vivienda segunda mano. Variación trimestral. ,1680300000000,1.7
Aragón. Vivienda segunda mano. Variación trimestral. ,1672527600000,0.4
Aragón. Vivienda segunda mano. Variación anual. ,1759269600000,15.3
Aragón. Vivienda segunda mano. Variación anual. ,1751320800000,15.6
Aragón. Vivienda segunda mano. Variación anual. ,1743458400000,14.8
Aragón. Vivienda segunda mano. Variación anual. ,1735686000000,14.2
Aragón. Vivienda segunda mano. Variación anual. ,1727733600000,13.1
Aragón. Vivienda segunda mano. Variación anual. ,1719784800000,10.1
Aragón. Vivienda segunda mano. Variación anual. ,1711922400000,8.9
Aragón. Vivienda segunda mano. Variación anual. ,1704063600000,5.8
Aragón. Vivienda segunda mano. Variación anual. ,1696111200000,3.3
Aragón. Vivienda segunda mano. Variación anual. ,1688162400000,2.8
Aragón. Vivienda segunda mano. Variación anual. ,1680300000000,1.7
Aragón. Vivienda segunda mano. Variación anual. ,1672527600000,2.1
Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1759269600000,15.3
Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1751320800000,13.3
Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1743458400000,9.2
Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1735686000000,3.8
Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1727733600000,13.1
Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1719784800000,10.9
Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1711922400000,7.7
Aragón. Vivienda segunda mano. Variación en lo que va de año. ,1704063600000,2.8
